Rank,Languages
1,"['C++', 'Wikitext', 'C++', 'Wikitext', 'C', 'C', 'C', 'C++', 'Wikitext']"
2,"['Go', 'Solidity', 'C++', 'Markdown', 'TypeScript', 'Go', 'C++', 'Haskell', 'TypeScript', 'Rust', 'TypeScript', 'Markdown', 'Solidity', 'JavaScript', 'Python', 'JavaScript', 'TypeScript', 'HTML', 'Go']"
3,No GitHub Link
4,"['Go', 'Solidity', 'Go', 'Solidity', 'Go', 'Solidity', 'Go', 'Solidity', 'TypeScript', 'Go', 'JavaScript', 'JavaScript', 'Python', 'Go', 'Go', 'TypeScript', 'Solidity', 'JavaScript', 'Shell']"
5,"['C++', 'JavaScript', 'TypeScript', 'Python', 'Java', 'C++', 'C++', 'Python', 'Python', 'TypeScript', 'CMake', 'Python', 'JavaScript', 'Java', 'TypeScript', 'JavaScript', 'Python', 'C', 'HTML', 'Vue']"
6,"['JavaScript', 'TypeScript', 'TypeScript', 'HTML', 'JavaScript', 'TypeScript', 'JavaScript', 'TypeScript', 'TypeScript', 'JavaScript', 'JavaScript', 'JavaScript', 'JavaScript', 'HTML', 'JavaScript', 'TypeScript', 'HTML']"
7,No GitHub Link
8,"['C++', 'C++', 'HTML', 'C', 'Java', 'Python', 'HTML', 'HTML', 'C++', 'Python', 'C', 'Java']"
9,"['Rust', 'Rust', 'Rust', 'Rust', 'Rust', 'TypeScript', 'TypeScript', 'Rust', 'TypeScript', 'Rust', 'Rust', 'Rust', 'TypeScript', 'JavaScript', 'Shell', 'C']"
10,"['Java', 'Java', 'Java', 'Java', 'Java', 'Shell', 'JavaScript', 'TypeScript', 'JavaScript', 'Java', 'Java', 'Java', 'JavaScript', 'Rust', 'Shell', 'C++']"
11,"['Rust', 'Rust', 'Rust', 'Rust', 'TypeScript', 'Rust', 'Rust', 'TypeScript', 'Rust', 'TypeScript', 'Rust', 'TypeScript', 'Rust', 'Rust', 'Rust', 'JavaScript', 'TypeScript', 'Shell', 'Python']"
12,No GitHub Link
13,"['JavaScript', 'Solidity', 'TypeScript', 'Go', 'TypeScript', 'Shell', 'Go', 'Go', 'TypeScript', 'JavaScript', 'Go', 'Go', 'Go', 'HCL', 'JavaScript', 'JavaScript', 'TypeScript', 'Go', 'Solidity', 'Shell']"
14,"['C++', 'Python', 'JavaScript', 'C++', 'TypeScript', 'Python', 'Python', 'Kotlin', 'Vue', 'Ruby', 'TypeScript', 'JavaScript', 'C++', 'Python', 'HTML']"
15,"['C++', 'HTML', 'HTML', 'JavaScript', 'JavaScript', 'C++', 'Dockerfile', 'JavaScript', 'HTML', 'HTML', 'C++', 'HTML', 'JavaScript', 'HTML', 'C++', 'Java', 'Python']"
16,No GitHub Link
17,"['JavaScript', 'HTML', 'JavaScript', 'HTML', 'JavaScript', 'HTML']"
18,No GitHub Link
19,No GitHub Link
20,"['Go', 'TypeScript', 'TypeScript', 'Solidity', 'Vue', 'Go', 'Rust', 'Go', 'Go', 'Go', 'Go', 'Go', 'Rust', 'Solidity', 'JavaScript', 'Go', 'Go', 'Rust', 'TypeScript', 'JavaScript', 'Solidity']"
21,"['RPC', 'C', 'Go', 'JavaScript', 'JavaScript', 'MDX', 'Java', 'Rust', 'MDX', 'Go', 'C', 'TypeScript', 'Rust', 'Rust', 'Shell', 'Rust', 'JavaScript', 'TypeScript', 'Rust', 'Go', 'Python']"
22,"['Go', 'JavaScript', 'TypeScript', 'MDX', 'JavaScript', 'Go', 'TypeScript', 'Go', 'Go', 'Go', 'MDX', 'TypeScript', 'Go', 'Go', 'Go', 'JavaScript', 'Go', 'TypeScript', 'Solidity', 'Shell']"
23,"['Python', 'Solidity', 'Solidity', 'Python', 'Go', 'Solidity', 'Kotlin', 'Solidity', 'Go', 'Solidity', 'Go', 'Go', 'JavaScript', 'JavaScript', 'Solidity', 'JavaScript', 'Go', 'Shell', 'Python', 'HCL', 'JavaScript']"
24,"['TypeScript', 'TypeScript', 'JavaScript', 'Solidity', 'Solidity', 'TypeScript', 'Solidity', 'TypeScript', 'TypeScript', 'Solidity', 'Solidity', 'Python', 'TypeScript', 'JavaScript', 'TypeScript', 'Solidity', 'Python', 'Go']"
25,No GitHub Link
26,"['C++', 'C', 'Python', 'TeX', 'CSS', 'C++', 'CSS', 'C', 'Python', 'Standard ML', 'C', 'Assembly', 'Python', 'TeX', 'C++', 'Python', 'C', 'C++', 'HTML', 'G-code']"
27,No GitHub Link
28,"['Go', 'TeX', 'Go', 'TypeScript', 'Go', 'TeX', 'Go', 'TeX', 'Go', 'Go', 'Go', 'TypeScript', 'Go', 'Go', 'Go', 'Go', 'TypeScript', 'Vue', 'JavaScript', 'Shell']"
29,"['JavaScript', 'HTML', 'Io', 'JavaScript', 'HTML', 'TypeScript', 'HTML', 'JavaScript', 'HTML', 'JavaScript', 'Go', 'Shell', 'Ruby']"
30,"['Java', 'Java', 'Solidity', 'JavaScript', 'TypeScript', 'TypeScript', 'Java', 'Java', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'TypeScript', 'Java', 'Java', 'TypeScript', 'Java', 'TypeScript', 'JavaScript', 'Go', 'Shell']"
31,"['Rust', 'Motoko', 'Rust', 'OCaml', 'Rust', 'JavaScript', 'Rust', 'Rust', 'Rust', 'JavaScript', 'Shell', 'Svelte', 'Rust', 'TypeScript', 'Rust', 'TypeScript', 'JavaScript', 'Motoko', 'Shell']"
32,"['Jupyter Notebook', 'Go', 'Rust', 'Rust', 'Rust', 'Rust', 'Go', 'Go', 'Jupyter Notebook', 'Go', 'Rust', 'Go', 'Go', 'Rust', 'JavaScript', 'TypeScript', 'Shell']"
33,"['Go', 'Elixir', 'Shell', 'JavaScript', 'Elixir', 'Go', 'Go', 'Shell', 'TypeScript', 'TypeScript', 'Solidity', 'TypeScript', 'JavaScript', 'Kotlin', 'Go', 'JavaScript', 'TypeScript', 'Solidity', 'Shell']"
34,"['JavaScript', 'JavaScript', 'Python', 'Python', 'Python', 'Solidity', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'JavaScript', 'Go', 'Solidity']"
35,"['Go', 'Go', 'Shell', 'TypeScript', 'Shell', 'Go', 'Go', 'Go', 'Go', 'Go', 'TypeScript', 'Go', 'Go', 'JavaScript', 'Shell', 'Go', 'Shell', 'Rust', 'TypeScript', 'JavaScript']"
36,No GitHub Link
37,"['JavaScript', 'Vue', 'JavaScript', 'TypeScript', 'PHP', 'TypeScript', 'PHP', 'JavaScript', 'JavaScript', 'Vue', 'JavaScript', 'Java', 'JavaScript', 'PHP', 'Java', 'TypeScript', 'Vue']"
38,No GitHub Link
39,"['Go', 'Vue', 'TypeScript', 'TypeScript', 'TypeScript', 'JavaScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Go', 'Vue', 'TypeScript', 'TypeScript', 'Vue', 'JavaScript', 'Go', 'Java']"
40,"['Rust', 'TypeScript', 'JavaScript', 'TypeScript', 'Python', 'Rust', 'Rust', 'Rust', 'Rust', 'TypeScript', 'TypeScript', 'TypeScript', 'JavaScript', 'Rust', 'Rust', 'Rust', 'Rust', 'JavaScript', 'TypeScript', 'Python', 'WebAssembly']"
41,"['Go', 'Solidity', 'Solidity', 'Vue', 'Jupyter Notebook', 'Go', 'Vue', 'Vue', 'Solidity', 'Go', 'TypeScript', 'Go', 'Solidity', 'TypeScript', 'Go', 'JavaScript', 'Solidity', 'Shell']"
42,"['Solidity', 'Solidity', 'Shell', 'Python', 'JavaScript', 'MDX', 'Solidity', 'PLpgSQL', 'TypeScript', 'HTML', 'Solidity', 'Python', 'Solidity', 'Solidity', 'JavaScript', 'Python', 'Shell', 'TypeScript']"
43,"['TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'JavaScript', 'Solidity', 'TypeScript', 'TypeScript', 'TypeScript', 'JavaScript', 'Solidity', 'C', 'HTML']"
44,"['TypeScript', 'TypeScript', 'TypeScript', 'Rust', 'TypeScript', 'MDX', 'TypeScript', 'Rust', 'TypeScript', 'TypeScript', 'TypeScript', 'Rust', 'Go', 'Julia', 'TypeScript', 'TypeScript', 'JavaScript', 'Rust', 'Go', 'TeX']"
45,"['Go', 'TypeScript', 'Python', 'Python', 'Shell', 'Go', 'Go', 'Java', 'Go', 'Go', 'Python', 'Go', 'TypeScript', 'C', 'Go', 'Gherkin', 'Go', 'C', 'Python', 'Rust', 'JavaScript']"
46,"['Go', 'JavaScript', 'Vue', 'JavaScript', 'PHP', 'HTML', 'TypeScript', 'JavaScript', 'JavaScript', 'Go', 'TypeScript', 'JavaScript', 'TypeScript', 'JavaScript', 'Go', 'TypeScript', 'JavaScript', 'TypeScript', 'HTML', 'Solidity', 'Python']"
47,No GitHub Link
48,No GitHub Link
49,No GitHub Link
50,No GitHub Link
51,"['Rust', 'JavaScript', 'Rust', 'Rust', 'JavaScript', 'Rust', 'Rust', 'Python', 'Rust', 'TypeScript', 'Rust', 'Python', 'Python', 'JavaScript', 'Svelte', 'TypeScript', 'JavaScript', 'Rust', 'Python', 'Shell']"
52,"['Go', 'Rust', 'Go', 'TypeScript', 'TypeScript', 'TypeScript', 'Shell', 'Go', 'Rust', 'Python', 'Rust', 'Go', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'Rust', 'JavaScript', 'Python']"
53,"['C++', 'C++', 'C++', 'C++', 'C++', 'C++', 'C++', 'C', 'C++', 'C++', 'C++', 'JavaScript', 'C++', 'JavaScript', 'C', 'Shell', 'Python']"
54,"['Go', 'Go', 'JavaScript', 'Go', 'JavaScript', 'JavaScript', 'HTML', 'Solidity', 'TypeScript', 'JavaScript', 'Go', 'Go', 'Go', 'TypeScript', 'HTML', 'JavaScript', 'TypeScript', 'Solidity', 'Go', 'Python']"
55,No GitHub Link
56,"['Vue', 'Shell', 'Python', 'TypeScript', 'Go', 'Go', 'TypeScript', 'Go', 'Vue', 'Python', 'Rust', 'Go', 'Rust', 'SCSS', 'Go', 'C#', 'Go', 'TypeScript', 'Rust', 'JavaScript', 'Vue']"
57,"['Go', 'Go', 'Solidity', 'JavaScript', 'JavaScript', 'Go', 'Go', 'Go', 'JavaScript', 'Go', 'TypeScript', 'Go', 'Go', 'TypeScript', 'Go', 'Shell', 'JavaScript', 'Rust', 'Go', 'Solidity', 'TypeScript']"
58,"['C++', 'Java', 'C#', 'Java', 'Shell', 'C#', 'Shell', 'Go', 'TypeScript', 'Go', 'Go', 'Dockerfile', 'Shell', 'C++', 'Java', 'Go', 'C#', 'Java', 'Shell', 'TypeScript']"
59,"['TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'C#', 'Makefile', 'TypeScript', 'TypeScript', 'TypeScript', 'C#', 'TypeScript', 'JavaScript', 'Rust', 'C#', 'TypeScript', 'TypeScript', 'TypeScript', 'JavaScript', 'C#', 'Rust', 'Go']"
60,No GitHub Link
61,No GitHub Link
62,No GitHub Link
63,"['Python', 'Solidity', 'Solidity', 'Python', 'Go', 'Solidity', 'Kotlin', 'Solidity', 'Go', 'Solidity', 'Go', 'Go', 'JavaScript', 'JavaScript', 'Solidity', 'JavaScript', 'Go', 'Shell', 'Python', 'HCL', 'JavaScript']"
64,"['C#', 'C#', 'C#', 'C#', 'C#', 'C#', 'C#', 'C#', 'C#', 'C#', 'JavaScript', 'C#', 'JavaScript', 'JavaScript', 'C#', 'JavaScript', 'HTML', 'Java', 'TypeScript']"
65,"['TypeScript', 'Vue', 'TypeScript', 'JavaScript', 'C', 'TypeScript', 'Swift', 'Go', 'TypeScript', 'JavaScript', 'C', 'Swift']"
66,"['Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'Go', 'TypeScript', 'Go', 'JavaScript', 'Go', 'Go', 'TypeScript', 'JavaScript', 'Shell', 'Kotlin']"
67,"['Python', 'Solidity', 'Solidity', 'Python', 'Go', 'Solidity', 'Kotlin', 'Solidity', 'Go', 'Solidity', 'Go', 'Go', 'JavaScript', 'JavaScript', 'Solidity', 'JavaScript', 'Go', 'Shell', 'Python', 'HCL', 'JavaScript']"
68,No GitHub Link
69,"['C++', 'Python', 'HTML', 'C', 'C', 'C++', 'Python', 'C', 'HTML', 'C', 'C', 'C++', 'Python', 'HTML']"
70,"['Go', 'Go', 'JavaScript', 'JavaScript', 'Go', 'Go', 'Go', 'Go', 'TypeScript', 'Go', 'MDX', 'Go', 'Go', 'JavaScript', 'Cadence', 'TypeScript', 'Kotlin']"
71,"['JavaScript', 'Go', 'Shell', 'Just', 'Go', 'Shell', 'Just', 'HTML', 'Go', 'TypeScript', 'TypeScript', 'JavaScript', 'TypeScript', 'JavaScript', 'Go', 'Solidity', 'TypeScript', 'Python']"
72,No GitHub Link
73,No GitHub Link
74,"['Go', 'Java', 'JavaScript', 'Go', 'Java', 'JavaScript', 'Python', 'TypeScript', 'TypeScript', 'JavaScript', 'TypeScript', 'Shell', 'Python', 'Go']"
75,No GitHub Link
76,"['Solidity', 'Solidity', 'Solidity', 'Solidity', 'Solidity', 'Solidity', 'Solidity', 'Solidity', 'C++', 'Solidity', 'TypeScript', 'JavaScript', 'C++', 'HTML']"
77,"['JavaScript', 'TypeScript', 'Go', 'Go', 'Rust', 'Go', 'Go', 'TypeScript', 'Go', 'Go', 'Go', 'Go', 'Go', 'Rust', 'JavaScript', 'Go', 'Rust', 'TypeScript', 'Java']"
78,"['C++', 'Rust', 'Rust', 'HTML', 'Rust', 'C++', 'Swift', 'Kotlin', 'Python', 'Kotlin', 'HTML', 'Swift', 'Rust', 'Rust', 'Rust', 'Rust', 'Kotlin', 'C++', 'Python', 'Swift']"
79,"['Rust', 'Shell', 'TypeScript', 'Gherkin', 'TypeScript', 'TypeScript', 'Rust', 'TypeScript', 'PHP', 'Vue', 'Rust', 'Python', 'TypeScript', 'Rust', 'TypeScript', 'JavaScript', 'Shell', 'Python']"
80,"['Rust', 'Rust', 'Rust', 'Rust', 'Rust', 'Move', 'C++', 'Rust', 'Rust', 'TypeScript', 'Rust', 'Move', 'Python', 'TypeScript', 'JavaScript']"
81,No GitHub Link
82,"['C++', 'C++', 'HTML', 'C', 'HTML', 'Python', 'HTML', 'Go', 'JavaScript', 'HTML', 'JavaScript', 'Go', 'Go', 'Go', 'Go', 'JavaScript', 'Python', 'C++', 'Go', 'C']"
83,"['Python', 'Python', 'Python', 'Python', 'Python', 'TypeScript', 'Vyper', 'TypeScript', 'Vyper', 'Vyper', 'JavaScript', 'Python', 'C++', 'TypeScript', 'Python', 'TypeScript', 'Vyper', 'JavaScript', 'Solidity']"
84,"['Rust', 'JavaScript', 'JavaScript', 'Go', 'TypeScript', 'Solidity', 'JavaScript', 'Go', 'TeX', 'Rust', 'TypeScript', 'JavaScript', 'TypeScript', 'Go', 'Rust', 'Solidity']"
85,"['OCaml', 'C++', 'C++', 'C', 'C++', 'OCaml', 'Go', 'TypeScript', 'OCaml', 'TypeScript', 'TypeScript', 'Nix', 'Nix', 'Nix', 'OCaml', 'Nix', 'C++', 'C', 'TypeScript']"
86,"['JavaScript', 'Shell', 'C', 'Go', 'Go', 'C', 'C', 'TypeScript', 'JavaScript', 'Go', 'Solidity', 'TypeScript', 'Go', 'Go', 'Go', 'TypeScript', 'JavaScript', 'Go', 'TypeScript', 'C', 'Solidity']"
87,"['JavaScript', 'SCSS', 'TypeScript', 'Go', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'SCSS', 'TypeScript', 'JavaScript', 'JavaScript', 'JavaScript', 'JavaScript', 'Go', 'TypeScript', 'Go', 'Rust', 'JavaScript', 'Python']"
88,"['Go', 'Swift', 'Go', 'Go', 'C++', 'Go', 'Go', 'C++', 'Shell', 'Go', 'TypeScript', 'Swift', 'Go', 'Objective-C', 'Swift', 'TypeScript', 'Go', 'JavaScript', 'Java']"
89,No GitHub Link
90,"['TypeScript', 'TypeScript', 'JavaScript', 'TypeScript', 'JavaScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'JavaScript']"
91,"['TypeScript', 'JavaScript', 'TypeScript', 'TypeScript', 'Rust', 'JavaScript', 'TypeScript', 'Solidity', 'Solidity', 'TypeScript', 'Solidity', 'TypeScript', 'Rust', 'Elm', 'TypeScript', 'JavaScript', 'TypeScript', 'Rust', 'Solidity', 'Elixir']"
92,"['JavaScript', 'JavaScript', 'JavaScript', 'JavaScript', 'JavaScript']"
93,No GitHub Link
94,No GitHub Link
95,No GitHub Link
96,No GitHub Link
97,"['Solidity', 'Scala', 'C++', 'HCL', 'HTML', 'Java', 'Go', 'HCL', 'HCL', 'Kotlin', 'Go', 'HCL', 'Python', 'Scala', 'HCL', 'TypeScript', 'HCL', 'JavaScript', 'C++', 'Python', 'Go']"
98,"['Go', 'Go', 'TypeScript', 'Go', 'Python', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'Go', 'Ruby', 'TypeScript', 'TypeScript', 'Python', 'Go', 'TypeScript', 'Go', 'Ruby', 'Python']"
99,"['Rust', 'Rust', 'CSS', 'TypeScript', 'Rust', 'CSS', 'JavaScript', 'Vue', 'Rust', 'Vue', 'TypeScript', 'Rust', 'Rust', 'TypeScript', 'TypeScript', 'Rust', 'JavaScript', 'Vue', 'Solidity']"
100,"['C++', 'Rust', 'Rust', 'Go', 'Kotlin', 'Objective-C', 'Rust', 'C++', 'Kotlin', 'Objective-C', 'Shell', 'Java', 'Rust', 'HCL', 'Python', 'JavaScript', 'JavaScript', 'Python', 'Rust', 'C', 'Shell']"
101,No GitHub Link
102,"['TypeScript', 'TypeScript', 'HTML', 'TypeScript', 'TypeScript', 'Move', 'TypeScript', 'TypeScript', 'TypeScript', 'HTML', 'TypeScript', 'Java', 'TypeScript', 'TypeScript', 'Solidity', 'TypeScript', 'TypeScript', 'JavaScript', 'Solidity', 'Java', 'Move']"
103,No GitHub Link
